t,energy,relative_drift
8.74,-1.28714,6.55537e-15
8.76,-1.28714,6.90039e-15
8.78,-1.28714,7.0729e-15
8.8,-1.28714,7.76294e-15
8.82,-1.28714,9.14302e-15
8.84,-1.28714,9.83306e-15
8.86,-1.28714,1.13856e-14
8.88,-1.28714,1.17307e-14
8.9,-1.28714,1.32833e-14
8.92,-1.28714,1.43183e-14
8.94,-1.28714,1.50084e-14
8.96,-1.28714,1.46633e-14
8.98,-1.28714,1.48358e-14
9,-1.28714,1.58709e-14
9.02,-1.28714,1.50084e-14
9.04,-1.28714,1.50084e-14
9.06,-1.28714,1.46633e-14
9.08,-1.28714,1.41458e-14
9.1,-1.28714,1.36283e-14
9.12,-1.28714,1.19032e-14
9.14,-1.28714,1.01781e-14
9.16,-1.28714,9.66055e-15
9.18,-1.28714,8.798e-15
9.2,-1.28714,7.59043e-15
9.22,-1.28714,6.03784e-15
9.24,-1.28714,5.3478e-15
9.26,-1.28714,5.3478e-15
9.28,-1.28714,5.3478e-15
9.3,-1.28714,5.00278e-15
9.32,-1.28714,4.65776e-15
9.34,-1.28714,4.31274e-15
9.36,-1.28714,3.62271e-15
9.38,-1.28714,3.27769e-15
9.4,-1.28714,3.96773e-15
9.42,-1.28714,4.14024e-15
9.44,-1.28714,3.62271e-15
9.46,-1.28714,3.96773e-15
9.48,-1.28714,3.27769e-15
9.5,-1.28714,3.27769e-15
9.52,-1.28714,2.93267e-15
9.54,-1.28714,2.93267e-15
9.56,-1.28714,3.10518e-15
9.58,-1.28714,3.27769e-15
9.6,-1.28714,3.10518e-15
9.62,-1.28714,3.4502e-15
9.64,-1.28714,3.4502e-15
9.66,-1.28714,3.62271e-15
9.68,-1.28714,4.65776e-15
9.7,-1.28714,4.14024e-15
9.72,-1.28714,4.65776e-15
9.74,-1.28714,5.3478e-15
9.76,-1.28714,6.03784e-15
9.78,-1.28714,6.72788e-15
9.8,-1.28714,7.41792e-15
9.82,-1.28714,7.76294e-15
9.84,-1.28714,9.83306e-15
9.86,-1.28714,1.05231e-14
9.88,-1.28714,1.12131e-14
9.9,-1.28714,1.15582e-14
9.92,-1.28714,1.19032e-14
9.94,-1.28714,1.24207e-14
9.96,-1.28714,1.36283e-14
9.98,-1.28714,1.39733e-14
10,-1.28714,1.43183e-14
10.02,-1.28714,1.51809e-14
10.04,-1.28714,1.53534e-14
10.06,-1.28714,1.36283e-14
10.08,-1.28714,1.41458e-14
10.1,-1.28714,1.29382e-14
10.12,-1.28714,1.22482e-14
10.14,-1.28714,1.08681e-14
10.16,-1.28714,9.83306e-15
10.18,-1.28714,8.28047e-15
10.2,-1.28714,8.28047e-15
10.22,-1.28714,8.62549e-15
10.24,-1.28714,7.76294e-15
10.26,-1.28714,6.38286e-15
10.28,-1.28714,5.86533e-15
10.3,-1.28714,6.38286e-15
10.32,-1.28714,6.03784e-15
10.34,-1.28714,5.52031e-15
10.36,-1.28714,6.03784e-15
10.38,-1.28714,5.69282e-15
10.4,-1.28714,5.17529e-15
10.42,-1.28714,4.83027e-15
10.44,-1.28714,5.86533e-15
10.46,-1.28714,5.3478e-15
10.48,-1.28714,5.86533e-15
10.5,-1.28714,5.17529e-15
10.52,-1.28714,6.03784e-15
10.54,-1.28714,5.69282e-15
10.56,-1.28714,5.3478e-15
10.58,-1.28714,5.69282e-15
10.6,-1.28714,5.69282e-15
10.62,-1.28714,6.38286e-15
10.64,-1.28714,6.72788e-15
10.66,-1.28714,5.86533e-15
10.68,-1.28714,6.21035e-15
10.7,-1.28714,6.03784e-15
10.72,-1.28714,6.03784e-15
10.74,-1.28714,6.38286e-15
10.76,-1.28714,7.0729e-15
10.78,-1.28714,6.03784e-15
10.8,-1.28714,6.72788e-15
10.82,-1.28714,6.21035e-15
10.84,-1.28714,7.24541e-15
10.86,-1.28714,7.59043e-15
10.88,-1.28714,7.76294e-15
10.9,-1.28714,7.59043e-15
10.92,-1.28714,9.48804e-15
10.94,-1.28714,1.05231e-14
10.96,-1.28714,1.15582e-14
10.98,-1.28714,1.22482e-14
11,-1.28714,1.38008e-14
11.02,-1.28714,1.44908e-14
11.04,-1.28714,1.41458e-14
11.06,-1.28714,1.34558e-14
11.08,-1.28714,1.25932e-14
11.1,-1.28714,1.20757e-14
11.12,-1.28714,1.25932e-14
11.14,-1.28714,1.15582e-14
11.16,-1.28714,1.13856e-14
11.18,-1.28714,1.06956e-14
11.2,-1.28714,9.14302e-15
11.22,-1.28714,8.10796e-15
11.24,-1.28714,7.76294e-15
11.26,-1.28714,7.76294e-15
11.28,-1.28714,6.90039e-15
11.3,-1.28714,6.38286e-15
11.32,-1.28714,6.03784e-15
11.34,-1.28714,4.83027e-15
11.36,-1.28714,4.65776e-15
11.38,-1.28714,3.62271e-15
11.4,-1.28714,3.96773e-15
11.42,-1.28714,4.14024e-15
11.44,-1.28714,4.14024e-15
11.46,-1.28714,3.96773e-15
11.48,-1.28714,4.31274e-15
11.5,-1.28714,3.62271e-15
11.52,-1.28714,4.48525e-15
11.54,-1.28714,3.62271e-15
11.56,-1.28714,3.79522e-15
11.58,-1.28714,4.31274e-15
11.6,-1.28714,3.27769e-15
11.62,-1.28714,4.14024e-15
11.64,-1.28714,3.62271e-15
11.66,-1.28714,4.83027e-15
11.68,-1.28714,4.48525e-15
11.7,-1.28714,5.00278e-15
11.72,-1.28714,3.96773e-15
11.74,-1.28714,4.31274e-15
11.76,-1.28714,4.14024e-15
11.78,-1.28714,3.79522e-15
11.8,-1.28714,4.31274e-15
11.82,-1.28714,5.00278e-15
11.84,-1.28714,5.00278e-15
11.86,-1.28714,5.00278e-15
11.88,-1.28714,6.72788e-15
11.9,-1.28714,6.38286e-15
11.92,-1.28714,7.24541e-15
11.94,-1.28714,8.10796e-15
11.96,-1.28714,9.14302e-15
11.98,-1.28714,1.01781e-14
12,-1.28714,1.12131e-14
12.02,-1.28714,1.32833e-14
12.04,-1.28714,1.32833e-14
12.06,-1.28714,1.39733e-14
12.08,-1.28714,1.56984e-14
12.1,-1.28714,1.67335e-14
12.12,-1.28714,1.74235e-14
12.14,-1.28714,1.81135e-14
12.16,-1.28714,1.81135e-14
12.18,-1.28714,1.70785e-14
12.2,-1.28714,1.55259e-14
12.22,-1.28714,1.43183e-14
12.24,-1.28714,1.25932e-14
12.26,-1.28714,1.29382e-14
12.28,-1.28714,1.24207e-14
12.3,-1.28714,1.22482e-14
12.32,-1.28714,1.15582e-14
12.34,-1.28714,1.08681e-14
12.36,-1.28714,1.01781e-14
12.38,-1.28714,9.83306e-15
12.4,-1.28714,1.05231e-14
12.42,-1.28714,1.05231e-14
