t,body,x,y,z,vx,vy,vz
1.66,Body C,-1.07882,0.0366879,0,0.0561897,0.467276,0
1.68,Body A,0.645909,-0.357879,0,1.03309,-0.0253766,0
1.68,Body B,0.431639,0.311845,0,-1.10381,-0.441924,0
1.68,Body C,-1.07755,0.0460337,0,0.0707221,0.4673,0
1.7,Body A,0.666379,-0.357991,0,1.01355,0.0139057,0
1.7,Body B,0.409608,0.302611,0,-1.09896,-0.481221,0
1.7,Body C,-1.07599,0.0553799,0,0.0854039,0.467315,0
1.72,Body A,0.686439,-0.357333,0,0.992162,0.051663,0
1.72,Body B,0.387692,0.292607,0,-1.09243,-0.518976,0
1.72,Body C,-1.07413,0.0647262,0,0.100266,0.467313,0
1.74,Body A,0.706054,-0.355936,0,0.969105,0.0877332,0
1.74,Body B,0.365921,0.281864,0,-1.08444,-0.555014,0
1.74,Body C,-1.07198,0.0740722,0,0.115338,0.467281,0
1.76,Body A,0.725193,-0.353836,0,0.944589,0.121989,0
1.76,Body B,0.344322,0.270418,0,-1.07524,-0.589197,0
1.76,Body C,-1.06952,0.0834171,0,0.13065,0.467209,0
1.78,Body A,0.743829,-0.351069,0,0.918828,0.154337,0
1.78,Body B,0.322918,0.258309,0,-1.06506,-0.621416,0
1.78,Body C,-1.06675,0.0927601,0,0.146234,0.46708,0
1.8,Body A,0.76194,-0.347675,0,0.892035,0.184717,0
1.8,Body B,0.301725,0.245575,0,-1.05415,-0.651595,0
1.8,Body C,-1.06366,0.1021,0,0.162119,0.466878,0
1.82,Body A,0.779505,-0.343694,0,0.864419,0.213101,0
1.82,Body B,0.280755,0.232259,0,-1.04276,-0.679685,0
1.82,Body C,-1.06026,0.111435,0,0.178336,0.466584,0
1.84,Body A,0.796512,-0.339164,0,0.83618,0.239488,0
1.84,Body B,0.260016,0.218402,0,-1.03109,-0.705664,0
1.84,Body C,-1.05653,0.120762,0,0.194914,0.466176,0
1.86,Body A,0.81295,-0.334127,0,0.807506,0.263899,0
1.86,Body B,0.239511,0.204047,0,-1.01939,-0.729529,0
1.86,Body C,-1.05246,0.130081,0,0.211884,0.46563,0
1.88,Body A,0.828811,-0.328621,0,0.778571,0.286379,0
1.88,Body B,0.21924,0.189235,0,-1.00785,-0.751297,0
1.88,Body C,-1.04805,0.139387,0,0.229275,0.464918,0
1.9,Body A,0.844092,-0.322685,0,0.749532,0.306989,0
1.9,Body B,0.199195,0.174008,0,-0.996648,-0.770999,0
1.9,Body C,-1.04329,0.148676,0,0.247115,0.46401,0
1.92,Body A,0.858792,-0.316354,0,0.720533,0.325804,0
1.92,Body B,0.17937,0.158408,0,-0.985966,-0.788676,0
1.92,Body C,-1.03816,0.157945,0,0.265434,0.462873,0
1.94,Body A,0.872914,-0.309664,0,0.691696,0.342906,0
1.94,Body B,0.159752,0.142475,0,-0.975953,-0.804376,0
1.94,Body C,-1.03267,0.167189,0,0.284257,0.461469,0
1.96,Body A,0.886462,-0.302648,0,0.663131,0.35839,0
1.96,Body B,0.140327,0.126246,0,-0.966743,-0.818149,0
1.96,Body C,-1.02679,0.176402,0,0.303612,0.459759,0
1.98,Body A,0.899442,-0.295338,0,0.634928,0.37235,0
1.98,Body B,0.121076,0.109761,0,-0.958452,-0.830048,0
1.98,Body C,-1.02052,0.185577,0,0.323524,0.457698,0
2,Body A,0.911862,-0.287764,0,0.607166,0.384888,0
2,Body B,0.101982,0.0930564,0,-0.951181,-0.840124,0
2,Body C,-1.01384,0.194707,0,0.344015,0.455237,0
2.02,Body A,0.923732,-0.279952,0,0.579907,0.396102,0
2.02,Body B,0.0830217,0.076168,0,-0.945014,-0.848424,0
2.02,Body C,-1.00675,0.203784,0,0.365107,0.452322,0
2.04,Body A,0.935062,-0.271928,0,0.553201,0.406091,0
2.04,Body B,0.0641734,0.059131,0,-0.940018,-0.854988,0
2.04,Body C,-0.999235,0.212797,0,0.386817,0.448898,0
2.06,Body A,0.945864,-0.263716,0,0.527087,0.414952,0
2.06,Body B,0.0454128,0.0419798,0,-0.936248,-0.859853,0
2.06,Body C,-0.991277,0.221736,0,0.409161,0.4449,0
2.08,Body A,0.95615,-0.255337,0,0.501593,0.42278,0
2.08,Body B,0.026715,0.0247481,0,-0.933743,-0.863043,0
2.08,Body C,-0.982865,0.230589,0,0.43215,0.440263,0
2.1,Body A,0.965932,-0.246811,0,0.476738,0.429663,0
2.1,Body B,0.00805449,0.00746912,0,-0.932529,-0.864578,0
2.1,Body C,-0.973986,0.239342,0,0.455791,0.434915,0
2.12,Body A,0.975223,-0.238156,0,0.452533,0.435688,0
2.12,Body B,-0.0105948,-0.00982406,0,-0.932618,-0.864466,0
2.12,Body C,-0.964629,0.24798,0,0.480085,0.428778,0
2.14,Body A,0.984038,-0.229388,0,0.428981,0.440935,0
2.14,Body B,-0.0292589,-0.0270985,0,-0.934009,-0.862706,0
2.14,Body C,-0.954779,0.256487,0,0.505028,0.421771,0
2.16,Body A,0.992387,-0.220523,0,0.40608,0.445481,0
2.16,Body B,-0.0479638,-0.0443213,0,-0.936688,-0.859289,0
2.16,Body C,-0.944423,0.264844,0,0.530608,0.413808,0
2.18,Body A,1.00029,-0.211573,0,0.383823,0.449396,0
2.18,Body B,-0.0667348,-0.0614589,0,-0.940628,-0.854195,0
2.18,Body C,-0.93355,0.273032,0,0.556805,0.404799,0
2.2,Body A,1.00774,-0.202551,0,0.362198,0.452748,0
2.2,Body B,-0.085597,-0.0784777,0,-0.945786,-0.847396,0
2.2,Body C,-0.922147,0.281029,0,0.583588,0.394649,0
2.22,Body A,1.01478,-0.193467,0,0.341189,0.455597,0
2.22,Body B,-0.104574,-0.0953432,0,-0.952108,-0.838857,0
2.22,Body C,-0.910203,0.28881,0,0.610919,0.38326,0
2.24,Body A,1.0214,-0.18433,0,0.320778,0.458001,0
2.24,Body B,-0.123689,-0.11202,0,-0.959524,-0.828536,0
2.24,Body C,-0.897707,0.29635,0,0.638745,0.370535,0
2.26,Body A,1.02761,-0.175149,0,0.300944,0.460012,0
2.26,Body B,-0.142962,-0.128472,0,-0.967946,-0.816384,0
2.26,Body C,-0.88465,0.303622,0,0.667002,0.356373,0
2.28,Body A,1.03344,-0.165932,0,0.281663,0.461678,0
2.28,Body B,-0.162412,-0.144663,0,-0.977273,-0.802352,0
2.28,Body C,-0.871025,0.310595,0,0.69561,0.340674,0
2.3,Body A,1.03888,-0.156684,0,0.262909,0.463042,0
