t,body,x,y,z,vx,vy,vz
5.25,Star A,-0.444951,0.228093,0,-2.02645,-3.95381,0
5.25,Star B,0.444972,-0.228018,0,2.02644,3.95383,0
5.25,Planet,-2.24304,-4.41319,0,3.57191,-1.84122,0
5.3,Star A,-0.499774,0.0147021,0,-0.130304,-4.44096,0
5.3,Star B,0.499796,-0.0146255,0,0.130294,4.44098,0
5.3,Planet,-2.06271,-4.50168,0,3.64022,-1.69768,0
5.35,Star A,-0.457557,-0.201536,0,1.79114,-4.06582,0
5.35,Star B,0.457577,0.201614,0,-1.79115,4.06584,0
5.35,Planet,-1.87912,-4.58288,0,3.70221,-1.54922,0
5.4,Star A,-0.326495,-0.378636,0,3.36481,-2.90124,0
5.4,Star B,0.326515,0.378714,0,-3.36482,2.90125,0
5.4,Planet,-1.69257,-4.65652,0,3.75914,-1.39582,0
5.45,Star A,-0.132037,-0.482209,0,4.28514,-1.17333,0
5.45,Star B,0.132056,0.482288,0,-4.28515,1.17334,0
5.45,Planet,-1.50328,-4.7224,0,3.81177,-1.23895,0
5.5,Star A,0.0880604,-0.492146,0,4.37344,0.782408,0
5.5,Star B,-0.0880415,0.492226,0,-4.37346,-0.782392,0
5.5,Planet,-1.31147,-4.7804,0,3.85978,-1.08093,0
5.55,Star A,0.291061,-0.406517,0,3.61257,2.58623,0
5.55,Star B,-0.291043,0.406598,0,-3.61258,-2.58621,0
5.55,Planet,-1.1174,-4.83051,0,3.90193,-0.923658,0
5.6,Star A,0.437549,-0.241948,0,2.15025,3.88789,0
5.6,Star B,-0.437531,0.24203,0,-2.15026,-3.88787,0
5.6,Planet,-0.921397,-4.87278,0,3.93681,-0.767555,0
5.65,Star A,0.499081,-0.0303934,0,0.270427,4.43465,0
5.65,Star B,-0.499064,0.0304754,0,-0.270439,-4.43464,0
5.65,Planet,-0.723852,-4.90727,0,3.9636,-0.611596,0
5.7,Star A,0.463711,0.187071,0,-1.66191,4.12036,0
5.7,Star B,-0.463694,-0.186988,0,1.66189,-4.12034,0
5.7,Planet,-0.525172,-4.93392,0,3.98231,-0.45408,0
5.75,Star A,0.338305,0.36822,0,-3.27155,3.00603,0
5.75,Star B,-0.338289,-0.368137,0,3.27154,-3.00602,0
5.75,Planet,-0.325743,-4.95262,0,3.99376,-0.293657,0
5.8,Star A,0.147213,0.477882,0,-4.24598,1.30803,0
