t,body,x,y,z,vx,vy,vz
0.48,Earth,-0.992111,0.12528,0,-0.78715,-6.23366,0
0.48,Mars,-0.0492771,1.52289,0,-5.08756,-0.165625,0
0.49,Sun,7.77624e-06,2.07359e-05,0,-1.41154e-05,5.22728e-05,0
0.49,Mercury,0.377433,0.0855829,0,-2.2331,9.8498,0
0.49,Venus,0.212589,-0.690832,0,7.06394,2.17145,0
0.49,Earth,-0.99802,0.0627369,0,-0.394176,-6.27078,0
0.49,Mars,-0.100116,1.52038,0,-5.07923,-0.335466,0
0.5,Sun,7.63423e-06,2.12511e-05,0,-1.42639e-05,5.07763e-05,0
0.5,Mercury,0.342574,0.180069,0,-4.69911,8.94007,0
0.5,Venus,0.281995,-0.665547,0,6.80522,2.88102,0
0.5,Earth,-0.999989,-5.3399e-05,0,0.000352869,-6.28315,0
0.5,Mars,-0.150843,1.51618,0,-5.06522,-0.504936,0
0.51,Sun,7.49136e-06,2.17518e-05,0,-1.42927e-05,4.9379e-05,0
0.51,Mercury,0.284514,0.262361,0,-6.84692,7.42483,0
0.51,Venus,0.348456,-0.633312,0,6.47545,3.56044,0
0.51,Earth,-0.998013,-0.0628434,0,0.394879,-6.27072,0
0.51,Mars,-0.201401,1.51028,0,-5.04556,-0.673846,0
0.52,Sun,7.34868e-06,2.2239e-05,0,-1.42296e-05,4.80812e-05,0
0.52,Mercury,0.207184,0.326885,0,-8.53107,5.40665,0
0.52,Venus,0.411278,-0.594463,0,6.0781,4.20262,0
0.52,Earth,-0.992097,-0.125385,0,0.787845,-6.23355,0
0.52,Mars,-0.251735,1.5027,0,-5.02027,-0.842007,0
0.53,Sun,7.207e-06,2.27137e-05,0,-1.40988e-05,4.68774e-05,0
0.53,Mercury,0.115823,0.369271,0,-9.63745,3.02218,0
0.53,Venus,0.469806,-0.549406,0,5.61731,4.80088,0
0.53,Earth,-0.982266,-0.187432,0,1.1777,-6.17177,0
0.53,Mars,-0.301788,1.49345,0,-4.98937,-1.00923,0
0.54,Sun,7.06687e-06,2.31768e-05,0,-1.39199e-05,4.57568e-05,0
0.54,Mercury,0.0166162,0.386645,0,-10.0911,0.432883,0
0.54,Venus,0.523429,-0.498612,0,5.0979,5.34896,0
0.54,Earth,-0.968558,-0.24874,0,1.56291,-6.08564,0
0.54,Mars,-0.351504,1.48252,0,-4.95291,-1.17533,0
0.55,Sun,6.92871e-06,2.36291e-05,0,-1.37068e-05,4.47053e-05,0
0.55,Mercury,-0.0837153,0.37783,0,-9.86116,-2.18586,0
0.55,Venus,0.571587,-0.442613,0,4.52531,5.84117,0
0.55,Earth,-0.951028,-0.309065,0,1.94195,-5.97549,0
0.55,Mars,-0.400828,1.46994,0,-4.91091,-1.34013,0
0.56,Sun,6.79282e-06,2.40711e-05,0,-1.3467e-05,4.37077e-05,0
0.56,Mercury,-0.178375,0.343422,0,-8.9632,-4.65666,0
0.56,Venus,0.613778,-0.381992,0,3.90552,6.27236,0
0.56,Earth,-0.929745,-0.368171,0,2.31332,-5.84175,0
0.56,Mars,-0.449704,1.45573,0,-4.86344,-1.50343,0
0.57,Sun,6.65945e-06,2.45034e-05,0,-1.3202e-05,4.27487e-05,0
0.57,Mercury,-0.260951,0.28575,0,-7.45799,-6.8121,0
0.57,Venus,0.649562,-0.317384,0,3.24498,6.63806,0
0.57,Earth,-0.904793,-0.425823,0,2.67556,-5.68496,0
0.57,Mars,-0.498078,1.43988,0,-4.81054,-1.66505,0
0.58,Sun,6.52888e-06,2.49262e-05,0,-1.29074e-05,4.18154e-05,0
0.58,Mercury,-0.325847,0.208721,0,-5.44744,-8.5061,0
0.58,Venus,0.678565,-0.249462,0,2.55061,6.93444,0
0.58,Earth,-0.876269,-0.481795,0,3.02724,-5.50574,0
0.58,Mars,-0.545897,1.42243,0,-4.75226,-1.82482,0
0.59,Sun,6.40143e-06,2.53398e-05,0,-1.25744e-05,4.08985e-05,0
0.59,Mercury,-0.368666,0.117553,0,-3.06777,-9.62385,0
0.59,Venus,0.700485,-0.178937,0,1.82964,7.15844,0
0.59,Earth,-0.844288,-0.535866,0,3.36697,-5.30479,0
0.59,Mars,-0.593106,1.40339,0,-4.68868,-1.98256,0
0.6,Sun,6.27756e-06,2.57442e-05,0,-1.21908e-05,3.99935e-05,0
0.6,Mercury,-0.386508,0.0184228,0,-0.480222,-10.0896,0
0.6,Venus,0.715094,-0.106543,0,1.0896,7.30771,0
0.6,Earth,-0.808974,-0.587821,0,3.69342,-5.0829,0
0.6,Mars,-0.639653,1.38279,0,-4.61987,-2.13808,0
0.61,Sun,6.15783e-06,2.61397e-05,0,-1.17426e-05,3.91016e-05,0
0.61,Mercury,-0.378162,-0.0819544,0,2.13987,-9.87172,0
0.61,Venus,0.722239,-0.0330367,0,0.338205,7.38071,0
0.61,Earth,-0.770468,-0.637457,0,4.00529,-4.84096,0
0.61,Mars,-0.685486,1.36064,0,-4.54589,-2.29123,0
0.62,Sun,6.04297e-06,2.65263e-05,0,-1.1216e-05,3.82298e-05,0
0.62,Mercury,-0.344195,-0.176777,0,4.61495,-8.98504,0
0.62,Venus,0.721847,0.0408145,0,-0.416711,7.37667,0
0.62,Earth,-0.728921,-0.684577,0,4.30135,-4.57991,0
0.62,Mars,-0.730554,1.33697,0,-4.46684,-2.44181,0
0.63,Sun,5.93381e-06,2.69044e-05,0,-1.05991e-05,3.73911e-05,0
0.63,Mercury,-0.286908,-0.259622,0,6.77731,-7.48965,0
0.63,Venus,0.71392,0.11424,0,-1.16728,7.29564,0
0.63,Earth,-0.684497,-0.728995,0,4.58043,-4.30079,0
0.63,Mars,-0.774806,1.31181,0,-4.38281,-2.58968,0
0.64,Sun,5.83131e-06,2.72743e-05,0,-9.88363e-06,3.66033e-05,0
0.64,Mercury,-0.210183,-0.324875,0,8.48045,-5.4869,0
0.64,Venus,0.698542,0.186473,0,-1.90566,7.13846,0
0.64,Earth,-0.637372,-0.770536,0,4.84144,-4.00469,0
0.64,Mars,-0.818194,1.28519,0,-4.29388,-2.73465,0
0.65,Sun,5.73648e-06,2.76367e-05,0,-9.06618e-06,3.58884e-05,0
0.65,Mercury,-0.119218,-0.368118,0,9.60901,-3.11253,0
