t,energy,relative_drift
4.56,-0.000138783,-2.50203e-09
4.57,-0.000138783,-2.50751e-09
4.58,-0.000138783,-2.51299e-09
4.59,-0.000138783,-2.51847e-09
4.6,-0.000138783,-2.52395e-09
4.61,-0.000138783,-2.52943e-09
4.62,-0.000138783,-2.5349e-09
4.63,-0.000138783,-2.54038e-09
4.64,-0.000138783,-2.54585e-09
4.65,-0.000138783,-2.55133e-09
4.66,-0.000138783,-2.55681e-09
4.67,-0.000138783,-2.56229e-09
4.68,-0.000138783,-2.56778e-09
4.69,-0.000138783,-2.57327e-09
4.7,-0.000138783,-2.57876e-09
4.71,-0.000138783,-2.58426e-09
4.72,-0.000138783,-2.58976e-09
4.73,-0.000138783,-2.59527e-09
4.74,-0.000138783,-2.60077e-09
4.75,-0.000138783,-2.60628e-09
4.76,-0.000138783,-2.61178e-09
4.77,-0.000138783,-2.61729e-09
4.78,-0.000138783,-2.62279e-09
4.79,-0.000138783,-2.62829e-09
4.8,-0.000138783,-2.63379e-09
4.81,-0.000138783,-2.63928e-09
4.82,-0.000138783,-2.64477e-09
4.83,-0.000138783,-2.65025e-09
4.84,-0.000138783,-2.65573e-09
4.85,-0.000138783,-2.66121e-09
4.86,-0.000138783,-2.66668e-09
4.87,-0.000138783,-2.67216e-09
4.88,-0.000138783,-2.67763e-09
4.89,-0.000138783,-2.6831e-09
4.9,-0.000138783,-2.68858e-09
4.91,-0.000138783,-2.69406e-09
4.92,-0.000138783,-2.69954e-09
4.93,-0.000138783,-2.70503e-09
4.94,-0.000138783,-2.71052e-09
4.95,-0.000138783,-2.71601e-09
4.96,-0.000138783,-2.7215e-09
4.97,-0.000138783,-2.727e-09
4.98,-0.000138783,-2.7325e-09
4.99,-0.000138783,-2.738e-09
5,-0.000138783,-2.7435e-09
